cell,method,spearman,oracle_phi_spread
lrsteps_0.003_10,ShapleyFL,0.49999999999999994,0.0011249431031525954
lrsteps_0.003_10,FedIF,0.49999999999999994,0.0011249431031525954
lrsteps_0.003_10,Banzhaf,0.9999999999999999,0.0011249431031525954
lrsteps_0.003_10,loss-heur,0.9999999999999999,0.0011249431031525954
lrsteps_0.003_10,Fed-LOO,0.9999999999999999,0.0011249431031525954
lrsteps_0.003_20,Flirds,0.9999999999999999,0.0013146059637663967
lrsteps_0.003_20,Flirds1st,0.9999999999999999,0.0013146059637663967
lrsteps_0.003_20,GTG,0.9999999999999999,0.0013146059637663967
lrsteps_0.003_20,FedSV,0.8999999999999998,0.0013146059637663967
lrsteps_0.003_20,ComFedSV,0.8999999999999998,0.0013146059637663967
lrsteps_0.003_20,ShapleyFL,0.8999999999999998,0.0013146059637663967
lrsteps_0.003_20,FedIF,0.8999999999999998,0.0013146059637663967
lrsteps_0.003_20,Banzhaf,0.9999999999999999,0.0013146059637663967
lrsteps_0.003_20,loss-heur,0.9999999999999999,0.0013146059637663967
lrsteps_0.003_20,Fed-LOO,0.9999999999999999,0.0013146059637663967
lrsteps_0.003_30,Flirds,0.9999999999999999,0.0011149230881609157
lrsteps_0.003_30,Flirds1st,0.9999999999999999,0.0011149230881609157
lrsteps_0.003_30,GTG,0.9999999999999999,0.0011149230881609157
lrsteps_0.003_30,FedSV,0.49999999999999994,0.0011149230881609157
lrsteps_0.003_30,ComFedSV,0.6,0.0011149230881609157
lrsteps_0.003_30,ShapleyFL,0.8999999999999998,0.0011149230881609157
lrsteps_0.003_30,FedIF,0.9999999999999999,0.0011149230881609157
lrsteps_0.003_30,Banzhaf,0.9999999999999999,0.0011149230881609157
lrsteps_0.003_30,loss-heur,0.9999999999999999,0.0011149230881609157
lrsteps_0.003_30,Fed-LOO,0.9999999999999999,0.0011149230881609157
rank_anchor_32,Flirds,0.9999999999999999,0.00033953337435774824
rank_anchor_32,Flirds1st,0.9999999999999999,0.00033953337435774824
rank_anchor_32,GTG,0.9999999999999999,0.00033953337435774824
rank_anchor_32,FedSV,0.7,0.00033953337435774824
rank_anchor_32,ComFedSV,0.8999999999999998,0.00033953337435774824
rank_anchor_32,ShapleyFL,0.8999999999999998,0.00033953337435774824
rank_anchor_32,FedIF,0.49999999999999994,0.00033953337435774824
rank_anchor_32,Banzhaf,0.9999999999999999,0.00033953337435774824
rank_anchor_32,loss-heur,0.9999999999999999,0.00033953337435774824
rank_anchor_64,Flirds,0.9999999999999999,0.0003763250266208009
rank_anchor_64,Flirds1st,0.9999999999999999,0.0003763250266208009
rank_anchor_64,GTG,0.9999999999999999,0.0003763250266208009
rank_anchor_64,FedSV,0.49999999999999994,0.0003763250266208009
rank_anchor_64,ComFedSV,0.8999999999999998,0.0003763250266208009
rank_anchor_64,ShapleyFL,0.7,0.0003763250266208009
rank_anchor_64,FedIF,0.7,0.0003763250266208009
rank_anchor_64,Banzhaf,0.9999999999999999,0.0003763250266208009
rank_anchor_64,loss-heur,0.9999999999999999,0.0003763250266208009
rank_anchor_64,Fed-LOO,0.9999999999999999,0.0003763250266208009
rank_std50k5_16,Flirds,0.9999039615846338,0.0009482800358628559
rank_std50k5_16,Flirds1st,0.9999039615846338,0.0009482800358628559
rank_std50k5_16,GTG,0.9825210084033614,0.0009482800358628559
rank_std50k5_16,FedSV,0.9100120048019207,0.0009482800358628559
rank_std50k5_16,ComFedSV,-0.10895558223289314,0.0009482800358628559
rank_std50k5_16,ShapleyFL,-0.06391356542617047,0.0009482800358628559
rank_std50k5_16,FedIF,-0.040480192076830734,0.0009482800358628559
rank_std50k5_16,loss-heur,0.9998079231692677,0.0009482800358628559
rank_std50k5_16,Fed-LOO,0.9998079231692677,0.0009482800358628559
rank_std50k5_32,Flirds,0.9999999999999999,0.0011299177368510893
rank_std50k5_32,Flirds1st,0.9997118847539016,0.0011299177368510893
rank_std50k5_32,GTG,0.9827130852340936,0.0011299177368510893
rank_std50k5_32,FedSV,0.89906362545018,0.0011299177368510893
rank_std50k5_32,ComFedSV,-0.12480192076830732,0.0011299177368510893
rank_std50k5_32,ShapleyFL,-0.09310924369747899,0.0011299177368510893
rank_std50k5_32,FedIF,-0.07563025210084032,0.0011299177368510893
rank_std50k5_32,loss-heur,0.9998079231692677,0.0011299177368510893
rank_std50k5_32,Fed-LOO,0.9996158463385355,0.0011299177368510893
rank_std50k5_64,Flirds,0.9999999999999999,0.0013301775778748251
rank_std50k5_64,Flirds1st,0.9992316926770708,0.0013301775778748251
rank_std50k5_64,GTG,0.9806002400960383,0.0013301775778748251
rank_std50k5_64,FedSV,0.9090516206482593,0.0013301775778748251
rank_std50k5_64,ComFedSV,-0.08139255702280913,0.0013301775778748251
rank_std50k5_64,ShapleyFL,-0.07831932773109243,0.0013301775778748251
rank_std50k5_64,FedIF,-0.05238895558223289,0.0013301775778748251
rank_std50k5_64,loss-heur,0.9994957865014535,0.0013301775778748251
rank_std50k5_64,Fed-LOO,0.9998079231692677,0.0013301775778748251
