cell,dataset,partition,threat,strength,flip_rate,seed,arm,final_acc,delta_acc,gap,recovery,auroc,rounds_to_target,n_excluded_pairs,false_excl_pairs,excl_precision,excl_clients,false_excl_clients
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,flirds_gatew_v2,0.590875,0.005125000000000046,0.03737500000000005,0.13712374581939907,0.7166666666666667,90.0,5263.0,1310.0,0.7510925327759833,57.0,17.0
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,flirds_gatew_v1,0.595,0.00924999999999998,0.03737500000000005,0.2474916387959858,1.0,87.0,594.0,104.0,0.8249158249158249,83.0,43.0
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,flirds_mult,0.59625,0.010499999999999954,0.03737500000000005,0.28093645484949675,0.40249999999999997,112.0,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,vanilla,0.26575,0.0,0.354625,0.0,,,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,oracle_excl,0.620375,0.354625,0.354625,1.0,,75.0,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,random_excl,0.241125,-0.02462499999999998,0.354625,-0.06943954881917512,,,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gate_v1,0.572375,0.306625,0.354625,0.8646457525555162,0.9987499999999999,,658.0,203.0,0.6914893617021277,99.0,59.0
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gate_v2,0.537,0.27125000000000005,0.354625,0.7648924920690872,0.9891666666666666,,5288.0,1243.0,0.7649394856278366,56.0,16.0
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_zgate_v2,0.378875,0.11312500000000003,0.354625,0.31899894254494193,0.9966666666666666,,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gatew_v2,0.57825,0.31250000000000006,0.354625,0.8812125484666903,0.97875,,5774.0,1651.0,0.7140630412192588,65.0,25.0
