dataset,partition,threat,flip_rate,arm,final_acc,delta_acc,gap,recovery,rec_sd,auroc,false_excl_pairs,excl_precision,seeds,n_corrupt
cifar10,shard,label_flip,0.35,flirds_mult,0.39608333333333334,0.019916666666666676,0.05033333333333334,-0.027723465179391116,0.8229671573098696,0.5012459146397678,,,3,44.666666666666664
cifar10,shard,label_flip,0.35,flirds_zgate_v2,0.4074583333333333,0.03129166666666666,0.05033333333333334,0.9145458042182191,0.7163088246881097,0.31779674095905974,,,3,44.666666666666664
cifar10,shard,label_flip,0.35,oracle_excl,0.42650000000000005,0.05033333333333334,0.05033333333333334,1.0,0.0,,,,3,44.666666666666664
cifar10,shard,label_flip,0.35,random_excl,0.326125,-0.05004166666666667,0.05033333333333334,-0.2119099514926165,0.6098204805546789,,,,3,44.666666666666664
cifar10,shard,label_flip,0.35,vanilla,0.3761666666666667,0.0,0.05033333333333334,0.0,0.0,,,,3,44.666666666666664
cifar10,shard,label_flip,0.7,flirds_gate_v1,0.28870833333333334,-0.02295833333333334,0.11483333333333334,-0.2909410529379404,0.9401171582731764,0.38731928374261676,268.0,0.3535182381641768,3,44.666666666666664
cifar10,shard,label_flip,0.7,flirds_gate_v2,0.2518333333333333,-0.05983333333333335,0.11483333333333334,-1.0787394377618749,1.7846857999002705,0.22777877829711976,3316.3333333333335,0.11268703478098145,3,44.666666666666664
cifar10,shard,label_flip,0.7,flirds_gatew_v1,0.3308333333333333,0.019166666666666665,0.11483333333333334,0.15351504039665217,1.624972464348717,0.37346662940347336,229.66666666666666,0.29649684543944366,3,44.666666666666664
cifar10,shard,label_flip,0.7,flirds_gatew_v2,0.21241666666666667,-0.09925,0.11483333333333334,-1.4636852180205828,1.4022941798302626,0.22241276736928295,2851.3333333333335,0.14682835877630018,3,44.666666666666664
cifar10,shard,label_flip,0.7,flirds_mult,0.31470833333333337,0.003041666666666674,0.11483333333333334,-0.15811900140336752,0.5423507605919196,0.5267893158188591,,,3,44.666666666666664
cifar10,shard,label_flip,0.7,flirds_zgate_v2,0.27166666666666667,-0.04000000000000001,0.11483333333333334,-0.6955589867542128,0.8056583901739884,0.30728593459784354,,,3,44.666666666666664
cifar10,shard,label_flip,0.7,oracle_excl,0.42650000000000005,0.11483333333333334,0.11483333333333334,1.0,0.0,,,,3,44.666666666666664
cifar10,shard,label_flip,0.7,random_excl,0.27829166666666666,-0.03337500000000002,0.11483333333333334,-0.43157323778314144,0.33890924405296663,,,,3,44.666666666666664
cifar10,shard,label_flip,0.7,vanilla,0.3116666666666667,0.0,0.11483333333333334,0.0,0.0,,,,3,44.666666666666664
cifar10,shard,label_flip,,flirds_gate_v1,0.282,-0.03587500000000002,0.10862500000000001,-0.3136970396542235,1.1097422511892185,0.37971818520050354,266.0,0.3579788101059494,3,44.666666666666664
cifar10,shard,label_flip,,flirds_gate_v2,0.22254166666666667,-0.09533333333333333,0.10862500000000001,-1.336667473336685,1.7004553881142301,0.18203873319739206,3691.0,0.16998671189455136,3,44.666666666666664
cifar10,shard,label_flip,,flirds_gatew_v1,0.326,0.008125000000000012,0.10862500000000001,0.030566873663208056,1.4659502067366816,0.4252485975924987,228.33333333333334,0.31695713247075935,3,44.666666666666664
cifar10,shard,label_flip,,flirds_gatew_v2,0.271625,-0.04624999999999999,0.10862500000000001,-0.712717474344886,0.8859983465269188,0.2727078525496889,2918.3333333333335,0.1770350037848303,3,44.666666666666664
cifar10,shard,label_flip,,flirds_mult,0.31504166666666666,-0.0028333333333333357,0.10862500000000001,-0.14641778667687622,0.4022385925468104,0.5410250062970142,,,3,44.666666666666664
cifar10,shard,label_flip,,flirds_zgate_v2,0.3156666666666667,-0.002208333333333331,0.10862500000000001,-0.37872562869542065,1.0159276181929475,0.4121043345015012,,,3,44.666666666666664
