dataset,partition,scenario,method,spearman_b,pearson_b,kendall_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,iid,label_flip_strmain,Flirds,0.9981798179817981,0.9995412573012703,0.9730639730639732,1.0,0.8840306584737293,0.7380093706427581,10.848643198997403
cifar10,iid,label_flip_strmain,Flirds1st,0.991259125912591,0.991519842427974,0.9268686868686871,1.0,0.8847647178557416,0.7354976310972917,4.23722465437216
cifar10,iid,label_flip_strmain,GTG,0.9595439543954395,0.9768637904418277,0.8390572390572393,1.0,0.8882755003827713,0.7805174099361811,713.6373006904032
cifar10,iid,label_flip_strmain,ShapleyFL,0.8094889488948893,0.9395294621092124,0.6059259259259261,1.0,0.891392329043684,0.8004915359425594,1475.9545636540279
cifar10,iid,label_flip_strmain,loss-heur,0.9925432543254326,0.9955321887170944,0.933872053872054,1.0,0.8859030359595149,0.7492343967440126,9.374497277739769
cifar10,qskew,clean,(b)oracle,,,,,,,832.0531401430295
cifar10,qskew,clean,ComFedSV,-0.015053505350535045,0.033813371363957866,-0.009696969696969699,,,,23.745465245990392
cifar10,qskew,clean,FedIF,0.34550255025502546,0.22555281105330968,0.23757575757575763,,,,5.381533407334548
cifar10,qskew,clean,FedSV,0.49271327132713266,0.6463229354533943,0.3574410774410775,,,,292.4503285306855
cifar10,qskew,clean,Flirds,0.9848504850485048,0.990673388724813,0.9327946127946128,,,,10.495117220581355
cifar10,qskew,clean,Flirds1st,0.3637843784378438,-0.05845038955151229,0.29777777777777786,,,,4.194243538620261
cifar10,qskew,clean,GTG,0.5923232323232323,0.7309886556002222,0.44148148148148153,,,,1186.9960514815757
cifar10,qskew,clean,ShapleyFL,0.32558855885588556,0.36279908827581203,0.2223569023569024,,,,1457.2952607830132
cifar10,qskew,clean,loss-heur,0.848188818881888,0.8985225727750535,0.6816161616161618,,,,9.137818581347043
cifar10,qskew,free_rider,(b)oracle,,,,0.8833333333333333,,,826.5721880627098
cifar10,qskew,free_rider,ComFedSV,-0.173414787889322,-0.01882409520372612,-0.12560643186483986,0.31777777777777777,,,23.62642544597232
cifar10,qskew,free_rider,FedIF,0.6612420810505574,0.29006357064603727,0.4780674708126731,0.9883333333333333,,,5.371509961977911
cifar10,qskew,free_rider,FedSV,-0.20526952145869104,0.5881706221864567,-0.1319161007552465,0.09500000000000001,,,292.96114257059526
cifar10,qskew,free_rider,Flirds,0.9915122764279761,0.9977349054818522,0.9760191846522782,0.8722222222222222,,,10.454601223929785
cifar10,qskew,free_rider,Flirds1st,0.6980789366839754,0.21462385633735384,0.6279776179056754,1.0,,,4.218376226956025
cifar10,qskew,free_rider,GTG,0.13929416724881927,0.7340370216009875,0.09948733738827269,0.2658333333333333,,,1026.9067013867123
cifar10,qskew,free_rider,ShapleyFL,-0.4580275703114894,0.0539959838583754,-0.3426296943976648,0.0008333333333333331,,,1462.4280968245973
cifar10,qskew,free_rider,loss-heur,0.9637583605786695,0.9748864395098226,0.8919264588329336,0.9222222222222222,,,9.160439838732904
cifar10,qskew,frrand,(b)oracle,,,,0.8777777777777778,,,833.5049181420667
cifar10,qskew,frrand,ComFedSV,-0.13249324932493248,-0.020856345404750714,-0.08740740740740742,0.3218055555555555,,,23.48170457035303
cifar10,qskew,frrand,FedIF,0.6387158715871586,0.29429030638421155,0.44457912457912463,0.9833333333333334,,,5.159264591367294
cifar10,qskew,frrand,FedSV,-0.18603060306030603,0.5845264116550227,-0.11191919191919193,0.09472222222222222,,,294.87698715737014
cifar10,qskew,frrand,Flirds,0.9940634063406341,0.9978724731204118,0.9727946127946129,0.8834722222222222,,,10.430931313661858
cifar10,qskew,frrand,Flirds1st,0.7004260426042603,0.22426321604723118,0.6480808080808081,0.9974999999999999,,,4.2785369056315785
cifar10,qskew,frrand,GTG,0.13194119411941194,0.7318693608310006,0.09037037037037038,0.2619444444444445,,,1049.95949493238
cifar10,qskew,frrand,ShapleyFL,-0.4258105810581057,0.04908204316944076,-0.28538720538720547,0.0005555555555555573,,,1471.5932312930624
cifar10,qskew,frrand,loss-heur,0.9536953695369536,0.9748103142947864,0.8646464646464649,0.9201388888888888,,,9.279819163357994
cifar10,qskew,grad_noise,(b)oracle,,,,0.9895833333333334,,,817.109647193652
cifar10,qskew,grad_noise,ComFedSV,0.34001400140014,0.2977874110069206,0.23340067340067347,0.7280555555555556,,,23.550765107385814
cifar10,qskew,grad_noise,FedIF,0.7645444544454444,0.7011379461379671,0.535892255892256,1.0,,,5.353549154708162
cifar10,qskew,grad_noise,FedSV,0.8873127312731272,0.7847424431486862,0.7059932659932661,1.0,,,290.9658359150247
cifar10,qskew,grad_noise,Flirds,0.7632723272327232,0.9101036127031032,0.6101010101010101,0.9584722222222223,,,10.609845052706078
cifar10,qskew,grad_noise,Flirds1st,0.30497049704970497,-0.04735066196608817,0.29670033670033674,0.5499999999999999,,,4.1305284177263575
cifar10,qskew,grad_noise,GTG,0.871111111111111,0.7853865104003256,0.6804040404040405,1.0,,,898.3951166837165
cifar10,qskew,grad_noise,ShapleyFL,0.8045204520452044,0.6641965254854002,0.5800673400673401,1.0,,,1452.6294155332725
cifar10,qskew,grad_noise,loss-heur,0.9826342634263425,0.9609183245165916,0.9147474747474749,0.9712500000000001,,,9.164817350955369
cifar10,qskew,label_flip@'0.15',(b)oracle,,,,0.489573481504834,-0.0177739315305675,,834.3801064194995
cifar10,qskew,label_flip@'0.15',ComFedSV,-0.016441644164416437,0.06393070110195376,-0.010303030303030303,0.5654982398066415,0.1101213952393778,,23.740666478406638
cifar10,qskew,label_flip@'0.15',FedIF,0.22151815181518147,0.15313556613567808,0.153939393939394,0.35372005044136196,-0.2511164482931355,,5.482662916532718
cifar10,qskew,label_flip@'0.15',FedSV,0.6374137413741374,0.7136680031615258,0.4666666666666668,0.596843474148802,0.16569225717558989,,296.9058498945669
cifar10,qskew,label_flip@'0.15',Flirds,0.9906450645064505,0.9895358079546557,0.9327272727272728,0.47584988440521225,-0.041086042522695314,,10.88789867045125
cifar10,qskew,label_flip@'0.15',Flirds1st,0.33004500450045,-0.08377309351211154,0.2777777777777778,0.5524577028163093,0.09125281970671072,,4.229841085500084
cifar10,qskew,label_flip@'0.15',GTG,0.6622562256225621,0.7417264308536755,0.4896969696969698,0.6393672498949139,0.23801340880700533,,1231.5765716794413
cifar10,qskew,label_flip@'0.15',ShapleyFL,0.36429642964296427,0.28271619896429606,0.24282828282828284,0.5508157313997478,0.08686659012060269,,1476.6685458420543
cifar10,qskew,label_flip@'0.15',loss-heur,0.8236003600360036,0.915524612676357,0.6543434343434344,0.5039078919714166,0.007113016572822178,,9.282441798073705
cifar10,qskew,label_flip@'0.35',(b)oracle,,,,0.9543595419058563,0.7796911864475046,,824.7108030683788
cifar10,qskew,label_flip@'0.35',ComFedSV,0.2353115311531153,0.21500290741703074,0.15703703703703706,0.6688610260072031,0.28881530203826095,,23.74572051235009
