dataset,scenario,seed,method,spearman_b,pearson_b,spearman_a,pearson_a,stage,partition,threat,flip_rate,cell,n_corrupt,kendall_b,cos_b,euc_b,maxdiff_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,label_flip@'0.15',1,FedSV,0.6215421542154215,0.680225730416055,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed1,48,0.44969696969696976,0.3564289494771108,0.6420230346417981,0.16803253089624737,0.7788461538461539,0.4826133019843453,nan,302.34335153899156
cifar10,label_flip@'0.15',1,ComFedSV,0.13106510651065104,0.16973643028728996,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed1,48,0.08323232323232325,0.8619679731437461,2.6575551086306217,0.7873135114942524,0.4967948717948718,-0.005547279333153394,nan,24.80399428983219
cifar10,label_flip@'0.15',1,ShapleyFL,0.5667926792679268,0.5509266444088884,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed1,48,0.3963636363636364,0.3070564479131124,5.906727371425876,0.9620089246067247,0.7127403846153846,0.36820066573805654,nan,1502.1213531638496
cifar10,label_flip@'0.15',1,FedIF,0.641104110411041,0.6493672877527218,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed1,48,0.4606060606060607,0.3058309267851732,5.180343043517664,0.8512567254908312,0.5440705128205128,0.07627509083085916,nan,5.84283095295541
cifar10,label_flip@'0.15',1,loss-heur,0.9508670867086708,0.9571769188995944,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed1,48,0.8141414141414143,0.07700915920599294,0.125200621628018,0.02728537671149724,0.7451923076923077,0.4243668689862347,nan,9.343415880110115
cifar10,label_flip@'0.15',2,(b)oracle,,,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,,,,,0.7370533922119631,0.40986928770608994,nan,827.262352382997
cifar10,label_flip@'0.15',2,Flirds,0.9971077107710771,0.9985638439836113,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.9604040404040406,0.001573260121022435,0.013904119312595832,0.003964604479482483,0.7306302689682859,0.3987635999782365,nan,10.9682439059834
cifar10,label_flip@'0.15',2,Flirds1st,0.8516771677167716,0.8588856808918444,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.6767676767676769,0.26660092525494183,0.36585942193677123,0.06633139036439677,0.6920915295062223,0.33212947361111606,nan,4.293525328976102
cifar10,label_flip@'0.15',2,GTG,0.8357155715571556,0.8665507571223865,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.6557575757575759,0.11152105256666112,0.10971090682008906,0.029391749343338294,0.8522681653954235,0.6090775613244606,nan,1340.8283382489462
cifar10,label_flip@'0.15',2,FedSV,0.6974377437743774,0.7596050234458436,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.5074747474747475,0.27606845525292356,0.8032546594233103,0.2629113996785785,0.7848253713368125,0.4924678401819997,nan,299.73741095198784
cifar10,label_flip@'0.15',2,ComFedSV,-0.06528652865286529,-0.021259639970836415,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,-0.04323232323232324,1.0459399357790362,3.1364268479804887,1.0861188408205,0.5644319550381374,0.11140393002002952,nan,24.14113098505186
cifar10,label_flip@'0.15',2,ShapleyFL,0.6139453945394538,0.6204051999548766,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.43595959595959605,0.33358541679999665,5.519730008599651,0.9700130360504549,0.7021276595744681,0.34948211068588697,nan,1467.0340180819621
