cell,dataset,partition,threat,seed,method,n_neg,n_neg_clean,n_neg_corrupt,n_exact_zero,n_exact_zero_corrupt,phi_clean_mean,phi_corrupt_mean,phi_gap,phi_gap_norm,phi_min,phi_max
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,GTG,9,6,3.0,0,0.0,-0.11266810142296675,-0.0021603911262539155,-0.11050771029671283,-0.6316430496151222,-0.16740304354066146,0.007549740890431809
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,FedSV,10,6,4.0,0,0.0,-0.12263421482510038,-0.09101375540097553,-0.03162045942412485,-0.09981244616155782,-0.3226784547170003,-0.005879692236582442
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,ComFedSV,8,5,3.0,0,0.0,-0.14522410846418804,-0.05712891494234403,-0.088095193521844,-0.08650159517351551,-0.5468781391779581,0.47154462337493896
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,Banzhaf,6,6,0.0,4,4.0,-0.18632855763038,0.0,-0.18632855763038,-0.9322452328333688,-0.1998707540333271,0.0
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,ShapleyFL,10,6,4.0,0,0.0,-0.3005651601349648,-0.9993373240743036,0.6987721639393388,0.8792917439005405,-0.9993373240743036,-0.20463844422404648
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,FedIF,6,6,0.0,4,4.0,-0.6446431571489929,0.0,-0.6446431571489929,-0.816308379096913,-0.7897054270864714,-0.0
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,loss-heur,6,6,0.0,4,4.0,-0.15846490859985352,0.0,-0.15846490859985352,-0.9137759300160235,-0.17341768741607666,0.0
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,(a)oracle,0,0,0.0,0,0.0,0.14408064550571326,0.05357672461252352,0.09050392089318973,0.8069609178513747,0.05235761245243117,0.16451164481147865
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,(b)oracle,6,6,0.0,0,0.0,-0.4581446343865345,0.5748358807275218,-1.0329805151140563,-0.8911951437199142,-0.4921262222623067,0.6669695407625227
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,Flirds,6,6,0.0,0,0.0,-0.2774180632084608,0.8568600257858635,-1.1342780889943243,-0.906778669871579,-0.3460229173302651,0.9048645667731762
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,Flirds1st,10,6,4.0,0,0.0,-0.8787811490396659,-0.8846427639946342,0.005861614954968286,0.019604222340221408,-0.9887384727597237,-0.6897408969700336
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,GTG,6,6,0.0,0,0.0,-0.17876676286649393,0.26425446528204294,-0.44302122814853684,-0.7919054306506893,-0.22027205348253634,0.3391649840744825
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,FedSV,6,6,0.0,0,0.0,-20.181493195560247,30.159858752290404,-50.341351947850654,-0.7856402204201134,-25.286231541633605,38.79062022765478
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,ComFedSV,8,6,2.0,0,0.0,-12.15680177261432,18.122821617871523,-30.279623390485845,-0.3839139489751142,-25.649764731526375,53.22109544773897
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,Banzhaf,6,6,0.0,0,0.0,-0.45545833682020503,0.5676168920472264,-1.0230752288674314,-0.8946821288741814,-0.4908013658132404,0.6527055802289397
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,ShapleyFL,10,6,4.0,0,0.0,-0.9963369431753285,-0.14728736075732313,-0.8490495824180053,-0.8543636956184997,-0.9992208921417929,-0.005440858214493718
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,FedIF,10,6,4.0,0,0.0,-0.7941907788251829,-0.00575619726514133,-0.7884345815600415,-0.912359716801379,-0.8676087348895385,-0.0034379839885712565
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,loss-heur,6,6,0.0,0,0.0,-0.7850315173467001,0.2304438054561615,-1.0154753228028617,-0.8791810149159869,-0.846471905708313,0.30855226516723633
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,(a)oracle,4,0,4.0,0,0.0,0.6253840570601209,-0.8050475440252397,1.4304316010853606,0.6018897694442799,-1.6984545386662555,0.6781128557356579
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,(b)oracle,6,6,0.0,0,0.0,-0.3107820657510605,0.205464051309086,-0.5162461170601464,-0.949869405782467,-0.32974024618428843,0.21375143163734023
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,Flirds,6,6,0.0,0,0.0,-0.31366875023716906,0.19741707651992332,-0.5110858267570924,-0.9493965720128248,-0.3321630510035902,0.20616396830882877
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,Flirds1st,6,6,0.0,0,0.0,-0.2885526403784752,0.19148229295387864,-0.48003493333235386,-0.9561042818764655,-0.3030273362994194,0.19904648810625075
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,GTG,6,6,0.0,0,0.0,-0.17224453095360057,0.13873430505733278,-0.31097883601093335,-0.9008335101448941,-0.19638259301565403,0.14882973812965838
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,FedSV,6,6,0.0,0,0.0,-0.5353583766354455,0.5423283686240514,-1.077686745259497,-0.815282452657887,-0.6879593531290691,0.6338975588480631
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,ComFedSV,6,6,0.0,0,0.0,-0.4620074124799834,0.43230192239085835,-0.8943093348708417,-0.5866513708013321,-0.7878318180640539,0.7365988393624624
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,Banzhaf,6,6,0.0,0,0.0,-0.3147508877639969,0.20470632752403617,-0.519457215288033,-0.9503870236917619,-0.3335765260271728,0.21299787191674113
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,ShapleyFL,10,6,4.0,0,0.0,-0.8826618837546492,-0.05201094531296084,-0.8306509384416884,-0.8844615586539742,-0.9447232675221799,-0.005563243760579863
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,FedIF,10,6,4.0,0,0.0,-0.8958658860527909,-0.05193350911160024,-0.8439323769411907,-0.9316969105609646,-0.9309874456502958,-0.025186033865997635
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,loss-heur,6,6,0.0,0,0.0,-0.2690587639808655,0.22251513600349426,-0.49157389998435974,-0.960719354683891,-0.2794889211654663,0.2321838140487671
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,Ripple,10,6,4.0,0,0.0,-27.547444292141194,-0.39615481403597874,-27.151289478105216,-0.9363475657580813,-29.23819850452667,-0.24117809136084417
cifar10_iid_label-flip_fr0.70_seed2,cifar10,iid,label_flip,2,(a)oracle,2,0,2.0,0,0.0,0.1910575384069371,-0.02398505028618711,0.2150425886931242,0.6649013051583476,-0.11161453480796213,0.21180577889094301
