cell,dataset,partition,threat,seed,method,runtime,auroc,spearman_a,spearman_b,kendall_a,kendall_b,pearson_a,pearson_b,cos_a,cos_b,euc_a,euc_b,maxdiff_a,maxdiff_b,n_neg,n_exact_zero,phi_min,phi_max,n_neg_clean,phi_clean_mean,n_neg_corrupt,n_exact_zero_corrupt,phi_corrupt_mean,phi_gap,phi_gap_norm
cifar10_iid_clean_seed2,cifar10,iid,clean,2,(b)oracle,184.1331741809845,,-0.5636363636363636,,-0.4666666666666666,,-0.6609969305633489,,0.024529393801831945,,0.08710018451462095,,0.04893623601974008,,0,0,0.10252896689233328,0.1399015545845033,0,0.12303224802017214,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Flirds,1.0959720881655812,,-0.4787878787878787,0.9636363636363635,-0.4222222222222222,0.8666666666666666,-0.6361630714418866,0.994663539756596,0.022571477075189028,9.702771778397068e-05,0.10107686373545191,0.05160007368880401,0.0652436046148931,0.019009517176106383,0,0,0.1174812360666692,0.15620892317965632,0,0.13927128449082377,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Flirds1st,0.4743828261271119,,-0.23636363636363633,0.7454545454545454,-0.24444444444444444,0.6,-0.19996646083090097,0.7349467297466974,0.021397962450688812,0.004323807512952249,0.09560636946345877,0.05923449162089051,0.05937013395459402,0.0447083253709096,0,0,0.11843486167490484,0.18204272985458375,0,0.1367764321155846,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,GTG,148.61996232066303,,-0.33333333333333326,0.4666666666666666,-0.28888888888888886,0.37777777777777777,-0.5276401274922267,0.37364675683140386,0.1291384730417312,0.08044414937875488,0.1950565314896186,0.1583645091461392,0.09614117720646781,0.08643400624387607,0,0,0.03400127213919658,0.16218744669288476,0,0.09256546423973634,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,FedSV,36.45863931905478,,-0.6848484848484848,0.6727272727272726,-0.5111111111111111,0.5111111111111111,-0.7316692564175337,0.6983524697549104,0.3761116925107687,0.24996674000505403,0.4377983489892817,0.36929880800809545,0.2812882146396334,0.2323519786198933,2,0,-0.05584984620412191,0.3722535332043966,2,0.12303221225738528,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,ComFedSV,31.231750428210944,,0.24848484848484845,0.17575757575757575,0.19999999999999998,0.15555555555555553,0.3477568576764827,0.07498386001516803,0.6013383710897391,0.6352165858875916,0.9940052306093773,1.0084694997417725,0.6752452187000759,0.7125170686888318,3,0,-0.5740793844064077,0.50246595342954,3,0.12303221225738525,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Banzhaf,183.8219822361134,,-0.5393939393939393,0.9878787878787878,-0.4222222222222222,0.9555555555555554,-0.665241698346655,0.9991937444822617,0.022576853586347978,6.398126675666305e-05,0.09791251425797073,0.04569524059440958,0.06357587657266305,0.01522329428883648,0,0,0.11715295794419944,0.15454119513742626,0,0.13747056126594542,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,ShapleyFL,180.8084313799627,,-0.4666666666666666,0.4787878787878787,-0.3333333333333333,0.3333333333333333,-0.48240928676200734,0.3520284067798309,0.10144077750305647,0.06149472223816521,1.5906216597222564,1.5740383207144812,0.8176708006581915,0.7687345646384515,0,0,0.19824722390993535,0.9086361192229547,0,0.5691738210132601,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,FedIF,0.5967827709391713,,-0.10303030303030303,0.6,-0.06666666666666667,0.4222222222222222,-0.1881201989930337,0.586903180616527,0.05493924873081668,0.027467240199216314,0.9944623436962275,0.9823758649652926,0.45592403875235177,0.45495702021770656,0,0,0.2569918932675238,0.5922914247013807,0,0.4126343527409987,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,loss-heur,0.8912159679457545,,-0.24848484848484845,0.8303030303030302,-0.19999999999999998,0.7333333333333333,-0.2987523054416809,0.7903131664860555,0.028512276357862465,0.005247046553081058,0.09783335301248151,0.05311354923921857,0.05019335856967522,0.03566473315632543,0,0,0.08845245838165283,0.14857685565948486,0,0.11060670614242554,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Ripple,7256.872195261996,,0.01818181818181818,0.12727272727272726,0.022222222222222223,0.06666666666666667,-0.029477517139895527,0.08367942176857539,0.159115253625967,0.1501466838408092,37.78400580877154,37.78297325301086,20.396599203878694,20.347662967858952,1,0,-1.0882010603402619,20.487564522443456,1,10.248214985894954,,,,,
cifar10_iid_clean_seed2,cifar10,iid,clean,2,(a)oracle,52831.64643826522,,,,,,,,,,,,,,0,0,0.09096531856476321,0.1440337192111547,0,0.12367837829589849,,,,,
