r,S,size,n_S,u_true,u_t1,u_t2,resid1,resid2,norm_dS,c_S,u_renorm
0,0+1+3+4,4,800,-0.0013735294342041016,-0.0013822413893649355,-0.0013745103023561356,8.711955160833895e-06,9.808681520340201e-07,0.003469223009741414,1.25,-0.0017147064208984375
0,0+2+3+4,4,800,-0.0013680458068847656,-0.0013768164644716308,-0.0013686198463078725,8.770657586865127e-06,5.740394231068535e-07,0.003427110996009538,1.25,-0.0017075538635253906
0,1+2+3+4,4,800,-0.0014564990997314453,-0.0014678266597911716,-0.0014569887341480126,1.1327560059726238e-05,4.896344165672417e-07,0.003617411609295663,1.25,-0.0018167495727539062
0,0+1+2+3+4,5,1000,-0.0016980171203613281,-0.0017110882181441411,-0.0016991441552116626,1.3071097782813013e-05,1.1270348503344962e-06,0.00419485434678465,1.0,-0.0016980171203613281
1,0,1,200,-0.0002391338348388672,-0.00023936080106068403,-0.0002389264111002376,2.269662218168378e-07,2.074237386295863e-07,0.0014532806004798028,5.0,-0.0011851787567138672
1,1,1,200,-0.0003266334533691406,-0.0003269418957643211,-0.0003262757534798766,3.084423951804638e-07,3.576998892640404e-07,0.0013948698072743962,5.0,-0.0016169548034667969
1,2,1,200,-0.00031876564025878906,-0.0003194269083905965,-0.00031883666940757394,6.612681318074465e-07,7.102914878487354e-08,0.0010922167710785467,5.0,-0.001581430435180664
1,3,1,200,-0.0005578994750976562,-0.0005615289555862546,-0.0005580448189448362,3.6294804885983467e-06,1.4534384717990179e-07,0.001742204871413982,5.0,-0.0027205944061279297
1,4,1,200,-0.0002276897430419922,-0.00022799166617915034,-0.0002276218093868465,3.0192313715815544e-07,6.793365514567995e-08,0.0010793803394370572,5.0,-0.0011298656463623047
1,0+1,2,400,-0.0005652904510498047,-0.0005663026968250051,-0.0005654563715609129,1.0122457752004266e-06,1.659205111081974e-07,0.0021138891394692303,2.5,-0.0014095306396484375
1,0+2,2,400,-0.0005571842193603516,-0.0005587877094512805,-0.0005576905250208597,1.6034900909289718e-06,5.063056605081329e-07,0.002067437989466683,2.5,-0.0013887882232666016
1,0+3,2,400,-0.000797271728515625,-0.0008008897566469386,-0.000797389397703796,3.618028131313622e-06,1.1766918817102123e-07,0.002331600332882684,2.5,-0.001979827880859375
1,0+4,2,400,-0.00046634674072265625,-0.00046735246723983437,-0.0004666970550033511,1.0057265171781182e-06,3.5031428069487447e-07,0.001992747083709339,2.5,-0.001163482666015625
1,1+2,2,400,-0.0006437301635742188,-0.0006463688041549176,-0.0006440754279992689,2.6386405806988478e-06,3.45264425050118e-07,0.0021757338605509218,2.5,-0.001600503921508789
1,1+3,2,400,-0.0008838176727294922,-0.0008884708513505757,-0.0008843391815069879,4.653178621083498e-06,5.215087774956828e-07,0.0023640227668280988,2.5,-0.0021944046020507812
1,1+4,2,400,-0.000553131103515625,-0.0005549335619434714,-0.0005531338681805664,1.8024584278464317e-06,2.764664941423689e-09,0.0020806581084824947,2.5,-0.001375436782836914
1,2+3,2,400,-0.0008764266967773438,-0.0008809558639768511,-0.000876630513275245,4.529167199507356e-06,2.0381649790124357e-07,0.0022105290452566874,2.5,-0.00217437744140625
1,2+4,2,400,-0.000545501708984375,-0.0005474185745697469,-0.000545744528068326,1.916865585371852e-06,2.428190839509625e-07,0.0018424587647711277,2.5,-0.0013570785522460938
1,3+4,2,400,-0.00078582763671875,-0.0007895206217654049,-0.0007857457493827269,3.6929850466549397e-06,8.188733602310094e-08,0.002165342303804138,2.5,-0.001949310302734375
1,0+1+2,3,600,-0.0008828639984130859,-0.0008857296052156016,-0.0008831834905933533,2.8656068025156856e-06,3.194921802673889e-07,0.002868104113905548,1.6666666666666667,-0.0014684200286865234
1,0+1+3,3,600,-0.0011234283447265625,-0.0011278316524112597,-0.0011239379672467464,4.403307684697211e-06,5.096225201839388e-07,0.0028983662555638013,1.6666666666666667,-0.0018677711486816406
