threat,seed,method,spearman_b,pearson_b,spearman_a,pearson_a
frzero,0,Flirds,0.9999999999999999,0.999999982773085,0.9999999999999999,0.9997776330838203
frzero,0,Flirds1st,0.9999999999999999,0.99999273951677,0.9999999999999999,0.9997566927852799
frzero,0,GTG,0.9999999999999999,0.9999194478512471,0.9999999999999999,0.9995679207642288
frzero,0,FedSV,0.8999999999999998,0.9950952670982846,0.8999999999999998,0.9947136400139668
frzero,0,ComFedSV,0.7,0.9146893427704337,0.7,0.9154871816401772
frzero,0,Banzhaf,0.9999999999999999,0.999999999087462,0.9999999999999999,0.9997763900775944
frzero,0,ShapleyFL,0.9999999999999999,0.9987911344635825,0.9999999999999999,0.9985816225253197
frzero,0,FedIF,0.7999999999999999,0.8975430474426346,0.7999999999999999,0.891574896790843
frzero,0,loss-heur,0.9999999999999999,0.9999992430795357,0.9999999999999999,0.9997513533364079
frzero,1,(b)oracle,nan,nan,0.9999999999999999,0.9998284607225991
frzero,1,Flirds,0.9999999999999999,0.9999999016209646,0.9999999999999999,0.9998210772889933
frzero,1,Flirds1st,0.9999999999999999,0.9999943282651327,0.9999999999999999,0.9998697438016425
frzero,1,GTG,0.9999999999999999,0.9993494430621531,0.9999999999999999,0.9985363042360007
frzero,1,FedSV,0.8999999999999998,0.9995721713001102,0.8999999999999998,0.9993348125940056
frzero,1,ComFedSV,0.8999999999999998,0.9723666545751034,0.8999999999999998,0.9744711061872321
frzero,1,Banzhaf,0.9999999999999999,0.9999999991965013,0.9999999999999999,0.9998280958420097
frzero,1,ShapleyFL,0.9999999999999999,0.9988706208663672,0.9999999999999999,0.9979799266498991
frzero,1,FedIF,0.8999999999999998,0.9171163855452495,0.8999999999999998,0.9098529396348286
frzero,1,loss-heur,0.9999999999999999,0.9999986178760935,0.9999999999999999,0.9998180325468443
frzero,2,(b)oracle,nan,nan,0.9999999999999999,0.9997455165064945
frzero,2,Flirds,0.9999999999999999,0.9999999398980182,0.9999999999999999,0.9997410494657768
frzero,2,Flirds1st,0.9999999999999999,0.9999942340105487,0.9999999999999999,0.9997873030778492
frzero,2,GTG,0.9999999999999999,0.9998002965264114,0.9999999999999999,0.9998904973897613
frzero,2,FedSV,0.9999999999999999,0.9972916905354064,0.9999999999999999,0.9962366305096728
frzero,2,ComFedSV,0.9999999999999999,0.9563618916443793,0.9999999999999999,0.9517368983567452
frzero,2,Banzhaf,0.9999999999999999,0.9999999997705126,0.9999999999999999,0.9997455700877795
frzero,2,ShapleyFL,0.9999999999999999,0.9990109986606124,0.9999999999999999,0.9981775321808549
frzero,2,FedIF,0.9999999999999999,0.9193844887122236,0.9999999999999999,0.9116546002999925
frzero,2,loss-heur,0.9999999999999999,0.9999993733188414,0.9999999999999999,0.99972962323364
