cell,scale,regime,seed,method,spearman,kendall,pearson_vs_b,runtime
3B_std20_seed1,3B,std20,1,loss-heur,1.0,1.0,0.9999806283084188,6717.034957241733
3B_std20_seed2,3B,std20,2,Flirds,1.0,1.0,0.999999414585546,11177.718117783777
3B_std20_seed2,3B,std20,2,Flirds1st,0.993984962406015,0.968421052631579,0.9998611323414999,3641.62414256623
3B_std20_seed2,3B,std20,2,GTG,0.9879699248120299,0.9473684210526316,0.9962670857165762,8663.46199654881
3B_std20_seed2,3B,std20,2,FedSV,0.9729323308270676,0.8947368421052632,0.9670939626539692,8661.6753655239
3B_std20_seed2,3B,std20,2,ComFedSV,-0.1518796992481203,-0.09473684210526316,-0.11535610592446637,5549.286134055816
3B_std20_seed2,3B,std20,2,ShapleyFL,0.03609022556390977,0.042105263157894736,0.12512508709510162,6927.0516536887735
3B_std20_seed2,3B,std20,2,FedIF,-0.0631578947368421,-0.031578947368421054,0.060922870412430614,3645.0628803428262
3B_std20_seed2,3B,std20,2,loss-heur,1.0,1.0,0.9999856916705786,6920.316008949187
3B_anchor5_seed0,3B,anchor5,0,Flirds,0.9999999999999999,0.9999999999999999,0.9999978361713705,1724.0656835348345
3B_anchor5_seed0,3B,anchor5,0,Flirds1st,0.9999999999999999,0.9999999999999999,0.9991827390647421,563.309551442042
3B_anchor5_seed0,3B,anchor5,0,GTG,0.9999999999999999,0.9999999999999999,0.998835804292797,8645.538986013737
3B_anchor5_seed0,3B,anchor5,0,FedSV,0.7,0.6,0.8883053084774366,8556.72771721799
3B_anchor5_seed0,3B,anchor5,0,ComFedSV,0.19999999999999998,0.19999999999999998,0.09338345135941672,5346.091976893134
3B_anchor5_seed0,3B,anchor5,0,ShapleyFL,0.09999999999999999,0.0,0.38773472681785737,8555.554616306908
3B_anchor5_seed0,3B,anchor5,0,FedIF,0.7,0.6,0.8054739561665917,564.3786431830376
3B_anchor5_seed0,3B,anchor5,0,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999316639394,8583.032557447441
3B_anchor5_seed0,3B,anchor5,0,loss-heur,0.9999999999999999,0.9999999999999999,0.9996680455429467,2662.4512056447566
3B_anchor5_seed1,3B,anchor5,1,Flirds,0.9999999999999999,0.9999999999999999,0.9999998677064835,1633.8869045958854
3B_anchor5_seed1,3B,anchor5,1,Flirds1st,0.9999999999999999,0.9999999999999999,0.9998080883772408,532.8928064368665
3B_anchor5_seed1,3B,anchor5,1,GTG,0.8999999999999998,0.7999999999999999,0.9997434708277456,8175.778149112128
3B_anchor5_seed1,3B,anchor5,1,FedSV,0.39999999999999997,0.39999999999999997,0.8121550473004513,8100.867590454873
3B_anchor5_seed1,3B,anchor5,1,ComFedSV,0.6,0.39999999999999997,0.4381897839503204,6314.602846371941
3B_anchor5_seed1,3B,anchor5,1,ShapleyFL,0.09999999999999999,0.0,-0.3735170516532796,8082.806836002041
3B_anchor5_seed1,3B,anchor5,1,FedIF,-0.19999999999999998,-0.19999999999999998,-0.2854931735201971,535.4226216720417
3B_anchor5_seed1,3B,anchor5,1,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999691160881,8110.318164371885
3B_anchor5_seed1,3B,anchor5,1,loss-heur,0.9999999999999999,0.9999999999999999,0.9999212637251486,2515.986396791879
3B_anchor5_seed2,3B,anchor5,2,Flirds,0.9999999999999999,0.9999999999999999,0.9999999658415856,1679.2473500058986
3B_anchor5_seed2,3B,anchor5,2,Flirds1st,0.9999999999999999,0.9999999999999999,0.9999565000980899,548.7445637658238
3B_anchor5_seed2,3B,anchor5,2,GTG,0.9999999999999999,0.9999999999999999,0.9998439718068118,8423.219969721045
3B_anchor5_seed2,3B,anchor5,2,FedSV,0.8999999999999998,0.7999999999999999,0.9437139031988031,8475.398215638008
3B_anchor5_seed2,3B,anchor5,2,ComFedSV,0.9999999999999999,0.9999999999999999,0.8221735481202871,6509.810602481011
3B_anchor5_seed2,3B,anchor5,2,ShapleyFL,0.3,0.19999999999999998,0.8262039960530871,8335.083976726048
3B_anchor5_seed2,3B,anchor5,2,FedIF,0.09999999999999999,0.0,0.5491941339751824,551.2451257873327
3B_anchor5_seed2,3B,anchor5,2,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999826658629,8363.43212635303
3B_anchor5_seed2,3B,anchor5,2,loss-heur,0.9999999999999999,0.9999999999999999,0.9999857487147911,2595.02397184819
7B_std20_seed0,7B,std20,0,Flirds,1.0,1.0,0.9999748611678592,20368.587045134977
7B_std20_seed0,7B,std20,0,Flirds1st,0.9969924812030074,0.9789473684210527,0.9999047609745567,6540.423882094212
7B_std20_seed0,7B,std20,0,GTG,0.9533834586466164,0.8526315789473685,0.9802080324463895,15510.212958882097
7B_std20_seed0,7B,std20,0,FedSV,0.9774436090225563,0.9157894736842106,0.9831665070875866,15510.27159387013
7B_std20_seed0,7B,std20,0,ComFedSV,-0.20300751879699244,-0.11578947368421053,-0.10860185598313886,9703.777025376912
7B_std20_seed0,7B,std20,0,ShapleyFL,0.47067669172932325,0.2947368421052632,0.45039439965978234,12405.851960931905
