cell,scale,regime,seed,arm,mmlu,rouge_l,final_val_loss,rounds_to_target
3B_anchor5_seed0,3B,anchor5,0,shapleyfl_w,0.6214214499359065,0.2703727210968463,1.2312513589859009,30.0
3B_anchor5_seed0,3B,anchor5,0,fedif_w,0.6209229454493662,0.2700502014377295,1.2316889762878418,30.0
3B_anchor5_seed1,3B,anchor5,1,base,0.6229881783221763,0.2200288533914212,,
3B_anchor5_seed1,3B,anchor5,1,vanilla,0.6217063096425011,0.2789509344584233,1.1645451784133911,30.0
3B_anchor5_seed1,3B,anchor5,1,flirds_w,0.6217775245691497,0.2786652384610452,1.1638648509979248,30.0
3B_anchor5_seed1,3B,anchor5,1,shapleyfl_w,0.6216350947158524,0.27876633684580215,1.163827896118164,30.0
3B_anchor5_seed1,3B,anchor5,1,fedif_w,0.6217063096425011,0.2773206050628904,1.1650712490081787,
3B_anchor5_seed2,3B,anchor5,2,base,0.6229881783221763,0.22200335068656818,,
3B_anchor5_seed2,3B,anchor5,2,vanilla,0.6218487394957983,0.2746978953888982,1.1938917636871338,30.0
3B_anchor5_seed2,3B,anchor5,2,flirds_w,0.6213502350092579,0.27817665670373243,1.192684292793274,30.0
3B_anchor5_seed2,3B,anchor5,2,shapleyfl_w,0.6212790200826093,0.2780542912891204,1.1926871538162231,30.0
3B_anchor5_seed2,3B,anchor5,2,fedif_w,0.6216350947158524,0.2728796562894361,1.1934767961502075,30.0
7B_std20_seed0,7B,std20,0,base,0.4175331149408916,0.1486490375254016,,
7B_std20_seed0,7B,std20,0,vanilla,0.40058396239851873,0.28067786572835085,1.0671970844268799,159.0
7B_std20_seed0,7B,std20,0,flirds_w,0.3986611593790058,0.2811494296102257,1.066298007965088,127.0
7B_std20_seed0,7B,std20,0,flirds_sel,0.3993733086454921,0.28377207710524016,1.066360354423523,132.0
7B_std20_seed0,7B,std20,0,shapleyfl_w,0.39894601908560035,0.28142883330125207,1.0662999153137207,124.0
7B_std20_seed0,7B,std20,0,fedif_w,0.40058396239851873,0.2809184752517604,1.0664119720458984,142.0
7B_std20_seed1,7B,std20,1,base,0.4175331149408916,0.15293275935514414,,
7B_std20_seed1,7B,std20,1,vanilla,0.4043583535108959,0.278122948204835,1.007733702659607,200.0
7B_std20_seed1,7B,std20,1,flirds_w,0.4040022788776528,0.27841560018602646,1.0065717697143555,161.0
7B_std20_seed1,7B,std20,1,flirds_sel,0.4037886340977069,0.28004785073108707,1.0070852041244507,141.0
7B_std20_seed1,7B,std20,1,shapleyfl_w,0.4037886340977069,0.27977297866715856,1.0064787864685059,159.0
7B_std20_seed1,7B,std20,1,fedif_w,0.402435550491383,0.27477500776370833,1.0063831806182861,159.0
7B_std20_seed2,7B,std20,2,base,0.4175331149408916,0.14726957055590129,,
7B_std20_seed2,7B,std20,2,vanilla,0.40649480131035465,0.27445609065570536,1.0320947170257568,195.0
7B_std20_seed2,7B,std20,2,flirds_w,0.40521293263067937,0.27453084861983446,1.0314258337020874,171.0
7B_std20_seed2,7B,std20,2,flirds_sel,0.4042159236575986,0.27309553157225774,1.031882643699646,186.0
7B_std20_seed2,7B,std20,2,shapleyfl_w,0.405284147557328,0.27494422550850955,1.0314425230026245,171.0
7B_std20_seed2,7B,std20,2,fedif_w,0.4060675117504629,0.2731847588456426,1.0315372943878174,173.0
7B_anchor5_seed0,7B,anchor5,0,base,0.4175331149408916,0.1486490375254016,,
7B_anchor5_seed0,7B,anchor5,0,vanilla,0.4194559179604045,0.16364660115910934,1.1246283054351807,30.0
7B_anchor5_seed0,7B,anchor5,0,flirds_w,0.41924227318045865,0.16637313832949313,1.1211423873901367,28.0
7B_anchor5_seed0,7B,anchor5,0,shapleyfl_w,0.41924227318045865,0.16637313832949313,1.1211435794830322,28.0
7B_anchor5_seed0,7B,anchor5,0,fedif_w,0.4195271328870531,0.16527547663619754,1.1218128204345703,29.0
7B_anchor5_seed1,7B,anchor5,1,base,0.4175331149408916,0.15293275935514414,,
7B_anchor5_seed1,7B,anchor5,1,vanilla,0.4200256373735935,0.16730252908761734,1.0730361938476562,30.0
7B_anchor5_seed1,7B,anchor5,1,flirds_w,0.4213787209799174,0.17115976298333513,1.068319320678711,28.0
7B_anchor5_seed1,7B,anchor5,1,shapleyfl_w,0.4213787209799174,0.17115976298333513,1.068317174911499,28.0
7B_anchor5_seed1,7B,anchor5,1,fedif_w,0.42009685230024213,0.1671201643725892,1.0736596584320068,
7B_anchor5_seed2,7B,anchor5,2,base,0.4175331149408916,0.14726957055590129,,
7B_anchor5_seed2,7B,anchor5,2,vanilla,0.4222333000997009,0.16448634691462793,1.0845367908477783,30.0
7B_anchor5_seed2,7B,anchor5,2,flirds_w,0.4225181598062954,0.16633465657583604,1.0818222761154175,29.0
7B_anchor5_seed2,7B,anchor5,2,shapleyfl_w,0.4225181598062954,0.16634295051030462,1.0818185806274414,29.0
7B_anchor5_seed2,7B,anchor5,2,fedif_w,0.42144993590656604,0.16450910920005854,1.0841172933578491,30.0
