dataset,scenario,seed,method,spearman_a
cifar10,label-flip,1,Flirds,0.32121212121212117
cifar10,label-flip,1,Flirds1st,0.406060606060606
cifar10,label-flip,1,GTG,0.33333333333333326
cifar10,label-flip,1,FedSV,0.5030303030303029
cifar10,label-flip,1,ComFedSV,0.06666666666666665
cifar10,label-flip,1,Banzhaf,0.309090909090909
cifar10,label-flip,1,ShapleyFL,0.309090909090909
cifar10,label-flip,1,FedIF,0.17575757575757575
cifar10,label-flip,1,loss-heur,0.3696969696969697
cifar10,label-flip,1,Ripple,-0.01818181818181818
cifar10,label-flip,2,(b)oracle,0.6363636363636362
cifar10,label-flip,2,Flirds,0.6363636363636362
cifar10,label-flip,2,Flirds1st,0.6727272727272726
cifar10,label-flip,2,GTG,0.6606060606060605
cifar10,label-flip,2,FedSV,0.35757575757575755
cifar10,label-flip,2,ComFedSV,0.5878787878787878
cifar10,label-flip,2,Banzhaf,0.6363636363636362
cifar10,label-flip,2,ShapleyFL,0.28484848484848485
cifar10,label-flip,2,FedIF,0.34545454545454546
cifar10,label-flip,2,loss-heur,0.6727272727272726
cifar10,label-flip,2,Ripple,0.6121212121212121
cifar10,label-skew,0,(b)oracle,-0.2121212121212121
cifar10,label-skew,0,Flirds,-0.28484848484848485
cifar10,label-skew,0,Flirds1st,0.01818181818181818
cifar10,label-skew,0,GTG,0.16363636363636364
cifar10,label-skew,0,FedSV,0.006060606060606061
cifar10,label-skew,0,ComFedSV,-0.22424242424242422
cifar10,label-skew,0,Banzhaf,-0.2121212121212121
cifar10,label-skew,0,ShapleyFL,0.18787878787878787
cifar10,label-skew,0,FedIF,-0.01818181818181818
cifar10,label-skew,0,loss-heur,0.006060606060606061
cifar10,label-skew,0,Ripple,-0.3696969696969697
cifar10,label-skew,1,(b)oracle,0.0303030303030303
cifar10,label-skew,1,Flirds,-0.0303030303030303
cifar10,label-skew,1,Flirds1st,-0.07878787878787878
cifar10,label-skew,1,GTG,0.709090909090909
cifar10,label-skew,1,FedSV,0.7575757575757575
cifar10,label-skew,1,ComFedSV,0.7212121212121211
cifar10,label-skew,1,Banzhaf,0.0303030303030303
cifar10,label-skew,1,ShapleyFL,0.17575757575757575
cifar10,label-skew,1,FedIF,0.41818181818181815
cifar10,label-skew,1,loss-heur,0.35757575757575755
cifar10,label-skew,1,Ripple,-0.16363636363636364
cifar10,label-skew,2,(b)oracle,-0.17575757575757575
cifar10,label-skew,2,Flirds,-0.2121212121212121
cifar10,label-skew,2,Flirds1st,-0.16363636363636364
cifar10,label-skew,2,GTG,0.4424242424242424
cifar10,label-skew,2,FedSV,0.4424242424242424
cifar10,label-skew,2,ComFedSV,0.33333333333333326
cifar10,label-skew,2,Banzhaf,-0.17575757575757575
cifar10,label-skew,2,ShapleyFL,0.006060606060606061
cifar10,label-skew,2,FedIF,0.16363636363636364
cifar10,label-skew,2,loss-heur,0.06666666666666665
cifar10,label-skew,2,Ripple,-0.1515151515151515
cifar10,feature-noise,0,(b)oracle,0.5272727272727272
cifar10,feature-noise,0,Flirds,0.5272727272727272
cifar10,feature-noise,0,Flirds1st,0.5393939393939393
cifar10,feature-noise,0,GTG,0.3696969696969697
cifar10,feature-noise,0,FedSV,0.3696969696969697
cifar10,feature-noise,0,ComFedSV,0.7333333333333332
cifar10,feature-noise,0,Banzhaf,0.5272727272727272
cifar10,feature-noise,0,ShapleyFL,0.2606060606060606
cifar10,feature-noise,0,FedIF,0.3939393939393939
cifar10,feature-noise,0,loss-heur,0.5272727272727272
cifar10,feature-noise,0,Ripple,0.11515151515151514
cifar10,feature-noise,1,(b)oracle,0.5515151515151515
cifar10,feature-noise,1,Flirds,0.6
cifar10,feature-noise,1,Flirds1st,0.18787878787878787
cifar10,feature-noise,1,GTG,0.43030303030303024
cifar10,feature-noise,1,FedSV,0.18787878787878787
cifar10,feature-noise,1,ComFedSV,0.19999999999999998
cifar10,feature-noise,1,Banzhaf,0.5515151515151515
cifar10,feature-noise,1,ShapleyFL,0.0303030303030303
cifar10,feature-noise,1,FedIF,0.19999999999999998
cifar10,feature-noise,1,loss-heur,0.35757575757575755
cifar10,feature-noise,1,Ripple,-0.17575757575757575
cifar10,feature-noise,2,(b)oracle,0.7696969696969697
cifar10,feature-noise,2,Flirds,0.7696969696969697
cifar10,feature-noise,2,Flirds1st,0.7818181818181817
cifar10,feature-noise,2,GTG,0.5151515151515151
cifar10,feature-noise,2,FedSV,-0.0303030303030303
cifar10,feature-noise,2,ComFedSV,0.24848484848484845
cifar10,feature-noise,2,Banzhaf,0.7696969696969697
cifar10,feature-noise,2,ShapleyFL,0.5515151515151515
cifar10,feature-noise,2,FedIF,0.6121212121212121
cifar10,feature-noise,2,loss-heur,0.8060606060606059
cifar10,feature-noise,2,Ripple,-0.309090909090909
cifar10,quantity-skew,0,(b)oracle,0.6727272727272726
cifar10,quantity-skew,0,Flirds,0.6727272727272726
cifar10,quantity-skew,0,Flirds1st,0.7212121212121211
cifar10,quantity-skew,0,GTG,0.5030303030303029
cifar10,quantity-skew,0,FedSV,0.32121212121212117
cifar10,quantity-skew,0,ComFedSV,0.5272727272727272
cifar10,quantity-skew,0,Banzhaf,0.6727272727272726
cifar10,quantity-skew,0,ShapleyFL,0.5151515151515151
cifar10,quantity-skew,0,FedIF,0.5151515151515151
cifar10,quantity-skew,0,loss-heur,0.7212121212121211
cifar10,quantity-skew,0,Ripple,0.34545454545454546
cifar10,quantity-skew,1,(b)oracle,0.5393939393939393
cifar10,quantity-skew,1,Flirds,0.5393939393939393
cifar10,quantity-skew,1,Flirds1st,0.5272727272727272
cifar10,quantity-skew,1,GTG,0.8181818181818182
cifar10,quantity-skew,1,FedSV,0.8787878787878788
cifar10,quantity-skew,1,ComFedSV,0.7212121212121211
cifar10,quantity-skew,1,Banzhaf,0.5393939393939393
cifar10,quantity-skew,1,ShapleyFL,0.9393939393939393
cifar10,quantity-skew,1,FedIF,-0.19999999999999998
cifar10,quantity-skew,1,loss-heur,0.5030303030303029
cifar10,quantity-skew,1,Ripple,0.6242424242424242
cifar10,quantity-skew,2,(b)oracle,0.49090909090909085
cifar10,quantity-skew,2,Flirds,0.49090909090909085
cifar10,quantity-skew,2,Flirds1st,0.41818181818181815
cifar10,quantity-skew,2,GTG,0.7818181818181817
cifar10,quantity-skew,2,FedSV,0.8909090909090909
cifar10,quantity-skew,2,ComFedSV,0.9030303030303028
cifar10,quantity-skew,2,Banzhaf,0.49090909090909085
cifar10,quantity-skew,2,ShapleyFL,0.9757575757575757
cifar10,quantity-skew,2,FedIF,-0.41818181818181815
cifar10,quantity-skew,2,loss-heur,0.4787878787878787
cifar10,quantity-skew,2,Ripple,0.43030303030303024
