dataset,partition,threat,flip_rate,seed,source,clean_false_fire,corrupt_fire
cifar10,dir1,grad_noise,,1,flirds,0.47156726768377255,0.9665970772442589
cifar10,dir1,grad_noise,,1,flirds1st,0.011095700416088766,0.12317327766179541
cifar10,dir1,grad_noise,,1,gtg,0.0027739251040221915,0.9874739039665971
cifar10,dir1,grad_noise,,1,lossheur,0.023578363384188627,0.6263048016701461
cifar10,dir1,grad_noise,,1,shapleyfl,0.0027739251040221915,0.9874739039665971
cifar10,dir1,grad_noise,,2,comfedsv,0.007042253521126761,0.9061224489795918
cifar10,dir1,grad_noise,,2,fedif,0.005633802816901409,0.14285714285714285
cifar10,dir1,grad_noise,,2,fedsv,0.005633802816901409,0.9102040816326531
cifar10,dir1,grad_noise,,2,flirds,0.3873239436619718,0.9612244897959183
cifar10,dir1,grad_noise,,2,flirds1st,0.005633802816901409,0.14285714285714285
cifar10,dir1,grad_noise,,2,gtg,0.0,0.9897959183673469
cifar10,dir1,grad_noise,,2,lossheur,0.011267605633802818,0.6387755102040816
cifar10,dir1,grad_noise,,2,shapleyfl,0.0,0.9816326530612245
cifar10,dir1,grad_noise,,2,comfedsv,0.005633802816901409,0.9020408163265307
cifar10,dir1,grad_noise,,2,fedif,0.005633802816901409,0.13673469387755102
cifar10,dir1,grad_noise,,2,fedsv,0.005633802816901409,0.9142857142857143
cifar10,dir1,grad_noise,,2,flirds,0.4056338028169014,0.9653061224489796
cifar10,dir1,grad_noise,,2,flirds1st,0.005633802816901409,0.13673469387755102
cifar10,dir1,grad_noise,,2,gtg,0.0,0.9877551020408163
cifar10,dir1,grad_noise,,2,lossheur,0.01267605633802817,0.6387755102040816
cifar10,dir1,grad_noise,,2,shapleyfl,0.0,0.9857142857142858
cifar10,dir1,label_flip,0.7,0,comfedsv,0.2857142857142857,0.6970338983050848
cifar10,dir1,label_flip,0.7,0,fedif,0.046703296703296704,0.7436440677966102
cifar10,dir1,label_flip,0.7,0,fedsv,0.3008241758241758,0.6716101694915254
cifar10,dir1,label_flip,0.7,0,flirds,0.11538461538461539,0.9491525423728814
cifar10,dir1,label_flip,0.7,0,flirds1st,0.046703296703296704,0.7436440677966102
cifar10,dir1,label_flip,0.7,0,gtg,0.28846153846153844,0.7330508474576272
cifar10,dir1,label_flip,0.7,0,lossheur,0.0989010989010989,0.847457627118644
cifar10,dir1,label_flip,0.7,0,shapleyfl,0.27472527472527475,0.7627118644067796
cifar10,dir1,label_flip,0.7,0,comfedsv,0.28983516483516486,0.7033898305084746
cifar10,dir1,label_flip,0.7,0,fedif,0.04395604395604396,0.7436440677966102
cifar10,dir1,label_flip,0.7,0,fedsv,0.2980769230769231,0.6758474576271186
cifar10,dir1,label_flip,0.7,0,flirds,0.11401098901098901,0.9364406779661016
cifar10,dir1,label_flip,0.7,0,flirds1st,0.04395604395604396,0.7436440677966102
cifar10,dir1,label_flip,0.7,0,gtg,0.29120879120879123,0.7309322033898306
cifar10,dir1,label_flip,0.7,0,lossheur,0.09752747252747253,0.8453389830508474
cifar10,dir1,label_flip,0.7,0,shapleyfl,0.27472527472527475,0.7648305084745762
cifar10,dir1,label_flip,0.7,1,comfedsv,0.2807570977917981,0.6484098939929329
cifar10,dir1,label_flip,0.7,1,fedif,0.022082018927444796,0.8127208480565371
cifar10,dir1,label_flip,0.7,1,fedsv,0.29652996845425866,0.6519434628975265
cifar10,dir1,label_flip,0.7,1,flirds,0.083596214511041,0.950530035335689
cifar10,dir1,label_flip,0.7,1,flirds1st,0.022082018927444796,0.8127208480565371
cifar10,dir1,label_flip,0.7,1,gtg,0.27287066246056785,0.7014134275618374
cifar10,dir1,label_flip,0.7,1,lossheur,0.08201892744479496,0.8833922261484098
cifar10,dir1,label_flip,0.7,1,shapleyfl,0.2634069400630915,0.6978798586572438
cifar10,dir1,label_flip,0.7,1,comfedsv,0.2870662460567823,0.6501766784452296
cifar10,dir1,label_flip,0.7,1,fedif,0.025236593059936908,0.8091872791519434
cifar10,dir1,label_flip,0.7,1,fedsv,0.2949526813880126,0.6448763250883393
cifar10,dir1,label_flip,0.7,1,flirds,0.0914826498422713,0.9522968197879859
cifar10,dir1,label_flip,0.7,1,flirds1st,0.025236593059936908,0.8091872791519434
cifar10,dir1,label_flip,0.7,1,gtg,0.27287066246056785,0.6943462897526502
cifar10,dir1,label_flip,0.7,1,lossheur,0.08201892744479496,0.8798586572438163
cifar10,dir1,label_flip,0.7,1,shapleyfl,0.26498422712933756,0.7084805653710248
cifar10,dir1,label_flip,0.7,2,comfedsv,0.27358490566037735,0.7056737588652482
cifar10,dir1,label_flip,0.7,2,fedif,0.026729559748427674,0.8687943262411347
cifar10,dir1,label_flip,0.7,2,fedsv,0.28144654088050314,0.7056737588652482
cifar10,dir1,label_flip,0.7,2,flirds,0.06132075471698113,0.9627659574468085
cifar10,dir1,label_flip,0.7,2,flirds1st,0.026729559748427674,0.8687943262411347
cifar10,dir1,label_flip,0.7,2,gtg,0.27672955974842767,0.7783687943262412
cifar10,dir1,label_flip,0.7,2,lossheur,0.07232704402515723,0.9148936170212766
cifar10,dir1,label_flip,0.7,2,shapleyfl,0.25943396226415094,0.7907801418439716
cifar10,dir1,label_flip,0.7,2,comfedsv,0.27358490566037735,0.7021276595744681
