dataset,partition,ttag,timing,policy,acc,rec,dacc,seeds
cifar10,shard,strmain,online,P2,0.271625,-0.712717474344886,-0.04624999999999999,3
cifar10,shard,strmain,online,P3,0.31504166666666666,-0.14641778667687622,-0.0028333333333333357,3
cifar10,shard,strmain,online,P4,0.3156666666666667,-0.37872562869542065,-0.002208333333333331,3
fmnist,dir1,clean,online,P1,0.8320833333333333,,0.020333333333333353,3
fmnist,dir1,clean,online,P1v1,0.8388333333333332,,0.02708333333333331,3
fmnist,dir1,clean,online,P2,0.8455833333333334,,0.033833333333333306,3
fmnist,dir1,clean,online,P3,0.82925,,0.01749999999999996,3
fmnist,dir1,clean,online,P4,0.8481666666666667,,0.03641666666666669,3
fmnist,dir1,free_rider,online,P1,0.8389166666666666,0.9084426784181693,0.03079166666666666,3
fmnist,dir1,free_rider,online,P1v1,0.8090833333333333,0.16859732950419268,0.0009583333333333203,3
fmnist,dir1,free_rider,online,P2,0.8420833333333334,1.1071115567439096,0.03395833333333328,3
fmnist,dir1,free_rider,online,P3,0.8204583333333333,0.3819081336238194,0.012333333333333307,3
fmnist,dir1,free_rider,online,P4,0.8092083333333333,0.00022653000593983452,0.001083333333333288,3
fmnist,dir1,frrand,online,P1,0.821625,0.4494846576687301,0.012708333333333321,3
fmnist,dir1,frrand,online,P1v1,0.8036666666666666,-0.13069685045435897,-0.005249999999999977,3
fmnist,dir1,frrand,online,P2,0.841625,1.0047875691303634,0.03270833333333334,3
fmnist,dir1,frrand,online,P3,0.8197916666666667,0.3496582438439702,0.010875000000000004,3
fmnist,dir1,frrand,online,P4,0.8078333333333333,-0.05889277065909726,-0.001083333333333325,3
fmnist,dir1,grad_noise,online,P1,0.856125,1.1592201912710103,0.11616666666666668,3
fmnist,dir1,grad_noise,online,P1v1,0.7814583333333333,0.4240434893765917,0.041500000000000016,3
fmnist,dir1,grad_noise,online,P2,0.8531666666666666,1.1232419746394882,0.11320833333333336,3
fmnist,dir1,grad_noise,online,P3,0.7947500000000001,0.520539062775185,0.05479166666666672,3
fmnist,dir1,grad_noise,online,P4,0.7940416666666668,0.5169452437002072,0.05408333333333337,3
fmnist,dir1,lf@0.7,online,P1,0.8417500000000001,1.1410320530631752,0.04883333333333336,3
fmnist,dir1,lf@0.7,online,P1v1,0.7932916666666667,-0.248813891798055,0.0003750000000000142,3
fmnist,dir1,lf@0.7,online,P2,0.8420416666666667,1.1867154456484852,0.04912500000000001,3
fmnist,dir1,lf@0.7,online,P3,0.8080833333333333,0.1119964472562408,0.015166666666666662,3
fmnist,dir1,lf@0.7,online,P4,0.8140416666666667,0.4390773315474626,0.021124999999999988,3
fmnist,dir1,strmain,online,P1,0.8413750000000001,1.1291092614825677,0.032416666666666684,3
fmnist,dir1,strmain,online,P1v1,0.804375,-0.12041559424555871,-0.004583333333333346,3
fmnist,dir1,strmain,online,P2,0.8409166666666668,1.1371342462452978,0.031958333333333346,3
fmnist,dir1,strmain,online,P3,0.806,-0.29925750474074925,-0.002958333333333322,3
fmnist,dir1,strmain,online,P4,0.8225000000000001,0.4254498137079164,0.01354166666666671,3
fmnist,iid,clean,online,P1,0.8553333333333333,,-0.0005833333333332691,3
fmnist,iid,clean,online,P1v1,0.8550416666666667,,-0.0008749999999999222,3
fmnist,iid,clean,online,P2,0.8542916666666667,,-0.0016249999999999505,3
fmnist,iid,clean,online,P3,0.8555,,-0.0004166666666666208,3
fmnist,iid,clean,online,P4,0.8559583333333333,,4.166666666671759e-05,3
fmnist,iid,free_rider,online,P1,0.85125,0.8393836534598232,0.023041666666666665,3
fmnist,iid,free_rider,online,P1v1,0.8517916666666667,0.8527832178115248,0.023583333333333362,3
fmnist,iid,free_rider,online,P2,0.851625,0.8390299584329433,0.02341666666666668,3
fmnist,iid,free_rider,online,P3,0.8404583333333333,0.44497740065161606,0.01225000000000002,3
fmnist,iid,free_rider,online,P4,0.825625,-0.09137724944466995,-0.0025833333333333077,3
fmnist,iid,frrand,online,P1,0.847625,0.7072596009285933,0.019625000000000004,3
fmnist,iid,frrand,online,P1v1,0.8336666666666667,0.20648798415498312,0.005666666666666671,3
fmnist,iid,frrand,online,P2,0.8545416666666666,0.9535191738581569,0.026541666666666686,3
fmnist,iid,frrand,online,P3,0.8395833333333332,0.41977553298590237,0.011583333333333353,3
fmnist,iid,frrand,online,P4,0.8267083333333334,-0.04339338516806063,-0.0012916666666666539,3
fmnist,iid,grad_noise,online,P1,0.8658333333333333,1.1584702925277817,0.08308333333333333,3
fmnist,iid,grad_noise,online,P1v1,0.8334166666666666,0.6933107120281005,0.05066666666666664,3
fmnist,iid,grad_noise,online,P2,0.8653333333333334,1.1592949384430271,0.08258333333333338,3
fmnist,iid,grad_noise,online,P3,0.8304999999999999,0.6407348953596935,0.047749999999999994,3
fmnist,iid,grad_noise,online,P4,0.8085416666666667,0.3307065532471094,0.025791666666666695,3
fmnist,iid,lf@0.7,online,P1,0.8524583333333333,0.8828172464150071,0.03625000000000004,3
fmnist,iid,lf@0.7,online,P1v1,0.8425833333333334,0.6135907090566641,0.026375,3
fmnist,iid,lf@0.7,online,P2,0.8535833333333334,0.9202267229061748,0.03737500000000001,3
fmnist,iid,lf@0.7,online,P3,0.8486666666666666,0.797466878136043,0.03245833333333333,3
fmnist,iid,lf@0.7,online,P4,0.8236666666666667,0.20069351949571956,0.007458333333333345,3
fmnist,iid,strmain,online,P1,0.8538333333333333,0.9168829866483291,0.03649999999999998,3
fmnist,iid,strmain,online,P1v1,0.8441666666666666,0.6529057551620722,0.026833333333333303,3
fmnist,iid,strmain,online,P2,0.853125,0.9032424120871775,0.035791666666666666,3
fmnist,iid,strmain,online,P3,0.8450000000000001,0.6938647259946896,0.027666666666666655,3
fmnist,iid,strmain,online,P4,0.8325833333333333,0.38691956525891413,0.01524999999999995,3
