dataset,partition,threat,flip_rate,seed,arm,source,policy,timing,final_acc,delta_acc,recovery,auroc,rounds_to_target,kept,skipped,dedup_shared
cifar10,dir1,clean,,0,t2_random_k76,,,,0.625625,-0.013249999999999984,,,79.0,76.0,,False
cifar10,dir1,clean,,0,t2_random_k86,,,,0.63975,0.0008750000000000702,,,77.0,86.0,,False
cifar10,dir1,clean,,0,t2_random_k87,,,,0.640625,0.0017500000000000293,,,73.0,87.0,,False
cifar10,dir1,clean,,0,t2_random_k90,,,,0.633375,-0.005499999999999949,,,65.0,90.0,,False
cifar10,dir1,clean,,0,t2_random_k97,,,,0.634125,-0.004749999999999921,,,76.0,97.0,,False
cifar10,dir1,clean,,0,t2_random_k99,,,,0.638,-0.0008749999999999591,,,73.0,99.0,,False
cifar10,dir1,clean,,0,t2_sign_comfedsv,comfedsv,P1,retrain,0.611875,-0.027000000000000024,,,80.0,52.0,,False
cifar10,dir1,clean,,0,t2_sign_fedif,fedif,P1,retrain,0.638125,-0.0007499999999999174,,,76.0,99.0,,True
cifar10,dir1,clean,,0,t2_sign_fedsv,fedsv,P1,retrain,0.619125,-0.019749999999999934,,,82.0,54.0,,False
cifar10,dir1,clean,,0,t2_sign_flirds,flirds,P1,retrain,0.623625,-0.015249999999999986,,,85.0,76.0,,False
cifar10,dir1,clean,,0,t2_sign_flirds1st,flirds1st,P1,retrain,0.638125,-0.0007499999999999174,,,76.0,99.0,,False
cifar10,dir1,clean,,0,t2_sign_gtg,gtg,P1,retrain,0.628375,-0.010499999999999954,,,73.0,58.0,,False
cifar10,dir1,clean,,0,t2_sign_lossheur,lossheur,P1,retrain,0.63025,-0.008624999999999994,,,74.0,87.0,,False
cifar10,dir1,clean,,0,t2_sign_shapleyfl,shapleyfl,P1,retrain,0.613125,-0.02574999999999994,,,72.0,58.0,,False
cifar10,dir1,clean,,0,t2_signw_comfedsv,comfedsv,P2,retrain,0.590625,-0.048250000000000015,,,104.0,52.0,,False
cifar10,dir1,clean,,0,t2_signw_fedif,fedif,P2,retrain,0.63525,-0.0036249999999999893,,,76.0,99.0,,False
cifar10,dir1,clean,,0,t2_signw_fedsv,fedsv,P2,retrain,0.60725,-0.031625000000000014,,,87.0,54.0,,False
cifar10,dir1,clean,,0,t2_signw_flirds,flirds,P2,retrain,0.60175,-0.037124999999999964,,,98.0,76.0,,False
cifar10,dir1,clean,,0,t2_signw_flirds1st,flirds1st,P2,retrain,0.634875,-0.0040000000000000036,,,72.0,99.0,,False
cifar10,dir1,clean,,0,t2_signw_gtg,gtg,P2,retrain,0.607875,-0.030999999999999917,,,80.0,58.0,,False
cifar10,dir1,clean,,0,t2_signw_lossheur,lossheur,P2,retrain,0.628875,-0.010000000000000009,,,80.0,87.0,,False
cifar10,dir1,clean,,0,t2_signw_shapleyfl,shapleyfl,P2,retrain,0.600375,-0.03849999999999998,,,86.0,58.0,,False
cifar10,dir1,clean,,0,vanilla,,,,0.638875,0.0,,,72.0,,,
